iter	Passed	Remaining
0	1	122
1	2	115
2	3	110
3	4	101
4	5	103
5	6	102
6	7	101
7	8	100
8	9	99
9	11	100
10	12	99
11	13	99
12	14	98
13	15	97
14	17	97
15	18	96
16	19	95
17	20	94
18	21	93
19	23	92
20	24	92
21	25	91
22	27	90
23	28	89
24	29	88
25	30	87
26	32	86
27	33	85
28	34	84
29	35	83
30	37	83
31	38	81
32	39	80
33	41	79
34	42	78
35	43	77
36	44	76
37	46	75
38	47	73
39	48	73
40	49	71
41	50	69
42	51	68
43	52	67
44	54	66
45	55	65
46	56	64
47	58	63
48	59	61
49	60	60
50	61	59
51	62	58
52	64	56
53	65	55
54	66	54
55	67	52
56	68	51
57	69	50
58	70	49
59	72	48
60	73	46
61	74	45
62	75	44
63	77	43
64	78	42
65	79	41
66	81	39
67	82	38
68	83	37
69	84	36
70	85	35
71	87	33
72	88	32
73	89	31
74	91	30
75	92	29
76	93	27
77	94	26
78	96	25
79	97	24
80	98	23
81	99	21
82	101	20
83	102	19
84	103	18
85	104	17
86	106	15
87	107	14
88	108	13
89	109	12
90	111	10
91	112	9
92	113	8
93	114	7
94	116	6
95	117	4
96	119	3
97	120	2
98	121	1
99	122	0
